order_id,customer_id,product_id,quantity,unit_price,total,status,created_at
O001,1,P001,1,199.00,199.00,completed,2026-01-05T10:00:00Z
O002,1,P009,1,129.00,129.00,completed,2026-01-05T10:01:00Z
O003,2,P005,1,99.00,99.00,completed,2026-01-06T14:00:00Z
O004,4,P003,1,299.00,299.00,completed,2026-01-07T09:00:00Z
O005,4,P004,1,399.00,399.00,completed,2026-01-07T09:05:00Z
O006,4,P010,1,499.00,499.00,completed,2026-01-07T09:10:00Z
O007,6,P001,1,199.00,199.00,completed,2026-01-08T11:00:00Z
O008,6,P002,1,149.00,149.00,completed,2026-01-08T11:05:00Z
O009,7,P005,2,99.00,198.00,completed,2026-01-09T15:00:00Z
O010,8,P003,1,299.00,299.00,completed,2026-01-10T08:00:00Z
O011,8,P004,1,399.00,399.00,completed,2026-01-10T08:05:00Z
O012,8,P008,1,259.00,259.00,completed,2026-01-10T08:10:00Z
O013,8,P010,1,499.00,499.00,completed,2026-01-10T08:15:00Z
O014,10,P001,1,199.00,199.00,completed,2026-01-11T13:00:00Z
O015,10,P009,1,129.00,129.00,completed,2026-01-11T13:05:00Z
O016,12,P003,1,299.00,299.00,completed,2026-01-12T10:00:00Z
O017,12,P004,1,399.00,399.00,completed,2026-01-12T10:05:00Z
O018,12,P007,1,189.00,189.00,completed,2026-01-12T10:10:00Z
O019,12,P008,1,259.00,259.00,completed,2026-01-12T10:15:00Z
O020,12,P010,1,499.00,499.00,completed,2026-01-12T10:20:00Z
O021,14,P001,1,199.00,199.00,completed,2026-01-13T11:00:00Z
O022,14,P006,1,79.00,79.00,completed,2026-01-13T11:05:00Z
O023,16,P001,1,199.00,199.00,completed,2026-01-14T09:00:00Z
O024,16,P002,1,149.00,149.00,completed,2026-01-14T09:05:00Z
O025,18,P005,1,99.00,99.00,completed,2026-01-15T14:00:00Z
O026,20,P003,1,299.00,299.00,completed,2026-01-16T10:00:00Z
O027,20,P010,1,499.00,499.00,completed,2026-01-16T10:05:00Z
O028,13,P006,1,79.00,79.00,completed,2026-01-17T12:00:00Z
O029,17,P005,1,99.00,99.00,completed,2026-01-18T15:00:00Z
O030,11,P006,2,79.00,158.00,refunded,2026-01-19T10:00:00Z
O031,3,P005,1,99.00,99.00,refunded,2026-01-20T08:00:00Z
O032,5,P006,1,79.00,79.00,refunded,2026-01-21T09:00:00Z
O033,9,P005,1,99.00,99.00,refunded,2026-01-22T10:00:00Z
O034,15,P006,1,79.00,79.00,refunded,2026-01-23T11:00:00Z
O035,19,P005,1,99.00,99.00,refunded,2026-01-24T12:00:00Z
O036,2,P001,1,199.00,199.00,completed,2026-02-01T10:00:00Z
O037,6,P007,1,189.00,189.00,completed,2026-02-03T11:00:00Z
O038,7,P009,1,129.00,129.00,completed,2026-02-05T13:00:00Z
O039,10,P007,1,189.00,189.00,completed,2026-02-07T14:00:00Z
O040,14,P008,1,259.00,259.00,completed,2026-02-09T09:00:00Z
O041,16,P008,1,259.00,259.00,completed,2026-02-11T10:00:00Z
O042,18,P009,1,129.00,129.00,completed,2026-02-13T11:00:00Z
O043,20,P008,1,259.00,259.00,completed,2026-02-15T12:00:00Z
O044,4,P007,1,189.00,189.00,completed,2026-02-17T09:00:00Z
O045,8,P006,1,79.00,79.00,completed,2026-02-19T10:00:00Z
O046,12,P002,1,149.00,149.00,completed,2026-02-21T11:00:00Z
O047,20,P002,1,149.00,149.00,completed,2026-02-23T12:00:00Z
O048,4,P002,1,149.00,149.00,completed,2026-02-25T09:00:00Z
O049,8,P009,1,129.00,129.00,completed,2026-02-27T10:00:00Z
O050,12,P001,1,199.00,199.00,completed,2026-02-28T11:00:00Z
