creditId,movieId,person,role,character
1,1,Christopher Nolan,director,
2,1,Leonardo DiCaprio,actor,Character_1
3,1,Joseph Gordon-Levitt,actor,Character_2
4,1,Elliot Page,actor,Character_3
5,2,Christopher Nolan,director,
6,2,Christian Bale,actor,Character_1
7,2,Heath Ledger,actor,Character_2
8,2,Aaron Eckhart,actor,Character_3
9,3,Quentin Tarantino,director,
10,3,John Travolta,actor,Character_1
11,3,Uma Thurman,actor,Character_2
12,3,Samuel L. Jackson,actor,Character_3
13,4,Frank Darabont,director,
14,4,Tim Robbins,actor,Character_1
15,4,Morgan Freeman,actor,Character_2
16,4,Bob Gunton,actor,Character_3
17,5,Robert Zemeckis,director,
18,5,Tom Hanks,actor,Character_1
19,5,Robin Wright,actor,Character_2
20,5,Gary Sinise,actor,Character_3
21,6,Lana Wachowski,director,
22,6,Keanu Reeves,actor,Character_1
23,6,Laurence Fishburne,actor,Character_2
24,6,Carrie-Anne Moss,actor,Character_3
25,7,Christopher Nolan,director,
26,7,Matthew McConaughey,actor,Character_1
27,7,Anne Hathaway,actor,Character_2
28,7,Jessica Chastain,actor,Character_3
29,8,David Fincher,director,
30,8,Brad Pitt,actor,Character_1
31,8,Edward Norton,actor,Character_2
32,8,Helena Bonham Carter,actor,Character_3
33,9,Martin Scorsese,director,
34,9,Robert De Niro,actor,Character_1
35,9,Ray Liotta,actor,Character_2
36,9,Joe Pesci,actor,Character_3
37,10,Jonathan Demme,director,
38,10,Jodie Foster,actor,Character_1
39,10,Anthony Hopkins,actor,Character_2
40,10,Scott Glenn,actor,Character_3
41,11,Ridley Scott,director,
42,11,Russell Crowe,actor,Character_1
43,11,Joaquin Phoenix,actor,Character_2
44,11,Connie Nielsen,actor,Character_3
45,12,Martin Scorsese,director,
46,12,Leonardo DiCaprio,actor,Character_1
47,12,Matt Damon,actor,Character_2
48,12,Jack Nicholson,actor,Character_3
49,13,Christopher Nolan,director,
50,13,Christian Bale,actor,Character_1
51,13,Hugh Jackman,actor,Character_2
52,13,Scarlett Johansson,actor,Character_3
53,14,Anthony Russo,director,
54,14,Robert Downey Jr.,actor,Character_1
55,14,Chris Evans,actor,Character_2
56,14,Scarlett Johansson,actor,Character_3
57,15,Bong Joon-ho,director,
58,15,Song Kang-ho,actor,Character_1
59,15,Lee Sun-kyun,actor,Character_2
60,15,Cho Yeo-jeong,actor,Character_3
61,16,Francis Ford Coppola,director,
62,16,Marlon Brando,actor,Character_1
63,16,Al Pacino,actor,Character_2
64,16,James Caan,actor,Character_3
65,17,Peter Jackson,director,
66,17,Elijah Wood,actor,Character_1
67,17,Viggo Mortensen,actor,Character_2
68,17,Orlando Bloom,actor,Character_3
69,18,Michael Curtiz,director,
70,18,Humphrey Bogart,actor,Character_1
71,18,Ingrid Bergman,actor,Character_2
72,18,Paul Henreid,actor,Character_3
73,19,Steven Spielberg,director,
74,19,Liam Neeson,actor,Character_1
75,19,Ben Kingsley,actor,Character_2
76,19,Ralph Fiennes,actor,Character_3
77,20,James Cameron,director,
78,20,Sam Worthington,actor,Character_1
79,20,Zoe Saldana,actor,Character_2
80,20,Sigourney Weaver,actor,Character_3
81,21,Irvin Kershner,director,
82,21,Mark Hamill,actor,Character_1
83,21,Harrison Ford,actor,Character_2
84,21,Carrie Fisher,actor,Character_3
85,22,Chris Buck,director,
86,22,Kristen Bell,actor,Character_1
87,22,Idina Menzel,actor,Character_2
88,22,Jonathan Groff,actor,Character_3
89,23,James Cameron,director,
90,23,Leonardo DiCaprio,actor,Character_1
91,23,Kate Winslet,actor,Character_2
92,23,Billy Zane,actor,Character_3
93,24,Steven Spielberg,director,
94,24,Roy Scheider,actor,Character_1
95,24,Robert Shaw,actor,Character_2
96,24,Richard Dreyfuss,actor,Character_3
97,25,Robert Zemeckis,director,
98,25,Michael J. Fox,actor,Character_1
99,25,Christopher Lloyd,actor,Character_2
100,25,Lea Thompson,actor,Character_3
